NPSN,Nama Satuan Pendidikan,Alamat,Kelurahan,Status,Latitude,Longitude
20314937,SMP NEGERI 1 DOPLANG,Jln.Doplang - Kunduran Km 1,Doplang,NEGERI,-7.176998300000,111.289290000000
20314949,SMP NEGERI 2 DOPLANG,Jln. Doplang - Randublatung Km 5,Randulawang,NEGERI,-7.189178300000,111.338788300000
20314910,SMP NEGERI 3 DOPLANG,Growong - Bangkleyan,Bangkleyan,NEGERI,-7.280803300000,111.244381700000
20360430,SMP NEGERI 4 DOPLANG SATU ATAP,Dk. Selogender Ds. Gempol Kec. Jati Blora,Gempol,NEGERI,-7.290026700000,111.322300000000
20314958,SMP NEGERI 1 RANDUBLATUNG,Jln. Diponegoro No 19,Randublatung,NEGERI,-7.200600000000,111.392700000000
20314916,SMP NEGERI 2 RANDUBLATUNG,J.l.Wulung - Doplang Km 7,Jeruk,NEGERI,-7.172405000000,111.338480000000
20314931,SMP NEGERI 3 RANDUBLATUNG,Jl. Menden - Peting,Kutukan,NEGERI,-7.189220000000,111.457591700000
20314926,SMP NEGERI 4 RANDUBLATUNG,"Jl. Menden Km. 4,5",Temulus,NEGERI,-7.223300000000,111.419300000000
20361627,SMPN 5 RANDUBLATUNG SATU ATAP,Kaliwader 05/02,Ngliron,NEGERI,-7.120830000000,111.395061700000
20314948,SMP NEGERI 1 MENDEN,Jl. Randublatung Menden,Mendenrejo,NEGERI,-7.243040000000,111.449343300000
20314918,SMP NEGERI 2 MENDEN,Desa Medalem,Medalem,NEGERI,-7.252153300000,111.482720000000
20350532,SMP NEGERI 3 MENDEN,Dusun Plumbon,Nglebak,NEGERI,-7.351400000000,111.434700000000
20330026,SMP NEGERI 1 KEDUNGTUBAN,Jl. Raya Cepu Randublatung Km 12,Ngraho,NEGERI,-7.163486700000,111.506983300000
20314920,SMP NEGERI 2 KEDUNGTUBAN,Jl. Ngraho - Ketuwan KM.6,Sidorejo,NEGERI,-7.209500000000,111.509600000000
20314938,SMP NEGERI 1 CEPU,Jl. SMP 1 Cepu,Tambakromo,NEGERI,-7.157100000000,111.578300000000
20314950,SMP NEGERI 2 CEPU,Kampungbaru Karangboyo No 53,Karangboyo,NEGERI,-7.137000000000,111.596900000000
20314911,SMP NEGERI 3 CEPU,Sitimulyo Lr 5,Cepu,NEGERI,-7.145000000000,111.587800000000
20314928,SMP NEGERI 4 CEPU,"Jl. Raya Cepu-Randu Km 3,5 Cepu",Mulyorejo,NEGERI,-7.157608100000,111.566253100000
20314924,SMP NEGERI 5 CEPU,Jl. Pemuda,Cepu,NEGERI,-7.141181700000,111.592565000000
20314957,SMP NEGERI 1 SAMBONG,Jalan Raya Sambong,Pojokwatu,NEGERI,-7.104801500000,111.560266600000
20314915,SMP NEGERI 2 SAMBONG,Jl. Giyanti,Brabowan,NEGERI,-7.106716700000,111.612350000000
20314956,SMP NEGERI 1 JIKEN,Jl. Raya Blora Cepu,Jiken,NEGERI,-7.008069400000,111.514435500000
20314934,SMP NEGERI 2 JIKEN,Jl. Raya Bleboh,Bleboh,NEGERI,-7.016935000000,111.602040000000
20314922,SMP NEGERI 3 JIKEN,Jiworejo,Jiworejo,NEGERI,-6.980000000000,111.506600000000
69870891,SMPN 4 JIKEN SATAP,DK. GEMPOL RT 01 RW 04,Ketringan,NEGERI,-6.962080000000,111.570103300000
20314939,SMP NEGERI 1 BOGOREJO,"Jl. Jatirogo Km 12 Bogorejo, Blora",Prantaan,NEGERI,-6.944230700000,111.504765400000
20314951,SMP NEGERI 2 BOGOREJO,Jl. Jatirogo Km 19,Gayam,NEGERI,-6.922136200000,111.548008700000
20362094,SMPN 3 BOGOREJO SATU ATAP,"Jurangjero, Bogorejo",Jurangjero,NEGERI,-6.906101700000,111.506038600000
20360465,SMP N 4 JEPON SATU ATAP,DS. SEMANGGI,Semanggi,NEGERI,-7.069564300000,111.437710900000
20314947,SMP NEGERI 1 JEPON,Jl. Raya Jepon No 93 A,Seso,NEGERI,-6.972325300000,111.457161300000
20314935,SMP NEGERI 2 JEPON,Jl. Turirejo Km. 5 Jepon,Turirejo,NEGERI,-6.994558600000,111.464370900000
20314921,SMP NEGERI 3 JEPON,Jalan Sayuran Km 5 Jepon,Puledagel,NEGERI,-6.936986000000,111.463696400000
20314940,SMP NEGERI 1 BLORA,Jl. Dr Sutomo 38,Tempelan,NEGERI,-6.966800000000,111.418800000000
20314952,SMP NEGERI 2 BLORA,Jln. Gunandar 72 Blora,Kedungjenar,NEGERI,-6.975309000000,111.420747600000
20314912,SMP NEGERI 3 BLORA,J.l.kamolan Blora,Kamolan,NEGERI,-6.997700000000,111.411600000000
20314929,SMP NEGERI 4 BLORA,Jl. Rembang Km. 5 Blora,Tambaksari,NEGERI,-6.936757600000,111.433800700000
20314925,SMP NEGERI 5 BLORA,Jl. Halmahera 29,Jetis,NEGERI,-6.974043300000,111.409041700000
20314923,SMP NEGERI 6 BLORA,Jl. Jend. A Yani 36 A Blora,Karangjati,NEGERI,-6.965376300000,111.422855700000
20330032,SMP NEGERI 7 BLORA,Jl.Sayuran Blora,Purwosari,NEGERI,-6.915300000000,111.456300000000
20314941,SMP NEGERI 1 BANJAREJO,Jl. Banjarejo Blora,Banjarejo,NEGERI,-7.031278300000,111.351313300000
20314953,SMP NEGERI 2 BANJAREJO,Jl.Wadas - Mojowetan,Mojowetan,NEGERI,-7.044389800000,111.365006200000
20314954,SMP NEGERI 1 TUNJUNGAN,"JL. Blora - Ngawen KM 4,2",Tamanrejo,NEGERI,-6.967286700000,111.374356700000
20314913,SMP NEGERI 2 TUNJUNGAN,Jl. Raya Tunjungan Km 4,Tunjungan,NEGERI,-6.927986700000,111.374186700000
20314930,SMP NEGERI 3 TUNJUNGAN,JL. KALISANGKU,Gempolrejo,NEGERI,-6.949800000000,111.410200000000
20314936,SMP NEGERI 1 JAPAH,Jl.Raya Japah,Beganjing,NEGERI,-6.952660000000,111.301188300000
20360429,SMP NEGERI 2 JAPAH,"Kalinanas, Japah",Kalinanas,NEGERI,-6.862400000000,111.257200000000
20314959,SMP NEGERI 1 NGAWEN,"Jl. Raya Blora - Purwodadi, Km. 13, Ngawen",Berbak,NEGERI,-6.998200000000,111.317700000000
20314917,SMP NEGERI 2 NGAWEN,Desa Rowobungkul,Rowobungkul,NEGERI,-7.075895000000,111.280476700000
20314932,SMP NEGERI 3 NGAWEN,Ds Bogowanti,Bogowanti,NEGERI,-6.971700000000,111.318500000000
20314927,SMP NEGERI 4 NGAWEN,Ds. Bandungrojo RT 05 RW 02,Bandungrojo,NEGERI,-7.039861700000,111.298115000000
20314909,SMP NEGERI 1 KUNDURAN,Jl. Raya Timur No. 34 Kunduran,Kunduran,NEGERI,-7.050300000000,111.241800000000
20314919,SMP NEGERI 2 KUNDURAN,NGRONGGAH,Sempu,NEGERI,-7.104220000000,111.248795000000
20314933,SMP NEGERI 3 KUNDURAN,Jl.Jagong - Karanggeneng Km 2,Karanggeneng,NEGERI,-7.031000000000,111.254100000000
20314955,SMP NEGERI 1 TODANAN,Jl. Todanan - Ngumbul Km.5,Ngumbul,NEGERI,-6.955300000000,111.157100000000
20314914,SMP NEGERI 2 TODANAN,"Jl. Juana, Todanan",Dalangan,NEGERI,-6.934800000000,111.182100000000
20330031,SMPN 3 Todanan Satu Atap,Dukuh Banat,Bedingin,NEGERI,-6.913400000000,111.254400000000
